name,year,miles,color,condition,price
Kia Forte,2022,"41,406 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$15,988"
Chevrolet Silverado 1500,2021,"15,138 miles","White exterior, Black interior","1 accident reported, 1 Owner","$38,008"
Toyota RAV4,2022,"32,879 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner","$24,988"
Honda Civic,2020,"37,190 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Honda Civic,2020,"27,496 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,498"
Honda Civic,2020,"29,026 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$21,000"
Honda Accord,2019,"4,148 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$20,998"
Mercedes-Benz GLC,2018,"57,602 miles","Blue exterior, Unknown interior","1 accident reported, 3 Owners","$18,887"
Honda Civic,2020,"50,240 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$19,498"
BMW 5 Series,2013,"56,766 miles","White exterior, Black interior","No accidents reported, 3 Owners","$17,998"
Jeep Wrangler,2018,"44,099 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$30,998"
Honda Civic,2020,"11,140 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Honda Civic,2020,"8,506 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$22,597"
Mercedes-Benz GLC,2021,"38,760 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$29,998"
Porsche Macan,2020,"27,002 miles","White exterior, Black interior","No accidents reported, 2 Owners","$39,998"
Honda Civic,2021,"22,850 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,998"
Buick Cascada,2016,"68,660 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$17,998"
BMW 3 Series,2014,"55,079 miles","White exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Jeep Grand Cherokee,2017,"64,337 miles","White exterior, Black interior","No accidents reported, 2 Owners","$19,598"
Mercedes-Benz C-Class,2018,"83,424 miles","White exterior, Black interior","1 accident reported, 2 Owners","$18,285"
Porsche Cayenne,2021,"21,991 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$102,167"
Honda Odyssey,2019,"61,318 miles","Black exterior, Brown interior","No accidents reported, 1 Owner","$26,998"
Mercedes-Benz GLC,2020,"36,064 miles","White exterior, Unknown interior","1 accident reported, 1 Owner","$26,839"
BMW 7 Series,2015,"57,707 miles","White exterior, Black interior","No accidents reported, 3 Owners","$27,998"
Mercedes-Benz GLC,2020,"38,981 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$26,518"
Kia K5,2022,"33,632 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,988"
Nissan Kicks,2021,"51,560 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$16,488"
Mercedes-Benz C-Class,2021,"18,769 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner","$29,990"
